recommendationid,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_at_review,author_last_played,language,review,timestamp_created,timestamp_updated,voted_up,comment_count,steam_purchase,hidden_in_steam_china,review_id
149388403,76561198038934544,0,11,4231,4231,1698947816,english,great game loving it played through quite a few times have phantom city now so replay #5 coming up,1698947707,1698947707,True,0,True,True,149388403
149386645,76561198057507801,0,2,6373,6347,1698947496,english,"Great game to chill and spend time, i recommend not going straight for the main story since doing side jobs will get you tonsof gear and experience. 
The new DLC added some insane features that are really game changing.",1698945927,1698945927,True,0,True,True,149386645
149386387,76561198065214917,0,12,3978,3978,1698373978,english,let me romance songbird you cowards,1698945661,1698945661,True,0,True,True,149386387
149385943,76561198318654510,130,9,12447,12447,1698947230,english,"This good very game yeah.
Buy choom it.",1698945238,1698945238,True,0,True,True,149385943
149385821,76561197971633930,162,8,1773,1773,1698870461,english,Solid game with awesome graphics!,1698945121,1698945121,True,0,True,True,149385821
149385703,76561198294099065,0,3,5991,5991,1698947850,english,i have developed a new addiction,1698945017,1698945017,True,0,True,True,149385703
149385481,76561198418099056,0,1,19798,19798,1698801660,english,"Cyberpunk 2077 is, perhaps, one of the best single-player games of all time. After it's disastrous launch in 2020, it have come a long way with updates and fixes, and now with a complete new DLC. There is no game that comes close to it's setting, stories, side quests, gameplay, world, characters; you can without any problem play for more than 80 hours without losing the fun, and there is lots of replay value once you know the consequences of your choices, what the best builds are, and what decisions are the best. Sadly, I do not think it comes close to GTA V in personalization; there are not a lot of apartments/houses to buy, you can't customize cars, customizing your character is limited (albeit this can be improved by easy to install MODS) and world and NPCs interactions are scarce. But this is not a problem when you understand that the game focus is it's stories, the main stories and side stories. There is such a variety in stories, no story is like other. You may have a laugh in one, and in other you may be left sad, when you see the world's real problems. Highly recommend this game for anyone who enjoys captivating stories and good gameplay.",1698944799,1698944970,True,0,True,True,149385481
149385448,76561198090894638,0,1,12504,12444,1698947545,english,"It's taken 2 years, but this game is so deep and detailed now. The main quest isn't that long, but going off the beaten path, doing the side quests and missions and exploring Night City is incredible.",1698944770,1698944770,True,0,True,True,149385448
149385092,76561198885798252,0,18,6046,5986,1698947869,english,"A month after Phantom Liberty this is one of the most stylish, innovative and engaging RPGs ever made.",1698944453,1698944453,True,0,True,True,149385092
149384934,76561199067105044,0,14,5831,5831,1698701093,english,"Excellent, but still buggy and Dogtown runs terrible.",1698944331,1698944331,True,0,True,True,149384934
149384903,76561199022519531,4,1,1331,1300,1698946163,english,I'd recommend watching the anime first then playing cos it JUST HITS DIFFERENT WHEN YOU HEAR THE OP INGAME {{{(>_<)}}}. But overall an excellent game (when it doesn't crash but now it rarely happens).,1698944298,1698944298,True,0,True,True,149384903
149384559,76561198012424834,233,5,5829,5829,1697861908,english,this game really makes you feel like a cyberpunk in 2077,1698944036,1698944123,True,0,True,True,149384559
149384162,76561198971531237,77,22,3643,3643,1698411724,english,Cyberpunk but with a twist of Isekai with a rockstar with a badass revolver with hacks where enemies need to remap themselves,1698943685,1698943685,True,0,True,True,149384162
149383791,76561198864076242,0,1,1507,1507,1698901400,english,banger of a game before and after the 2.0 update,1698943319,1698943319,True,0,True,True,149383791
149383561,76561198144429198,0,1,4063,3979,1698948084,english,the best forever,1698943104,1698943104,True,0,True,True,149383561
149383413,76561197977214978,339,16,22965,22898,1698945913,english,"One of my all time favorit games  , works perfectly in Linux, actually even better then in windows :D",1698942953,1698943005,True,0,True,True,149383413
149382631,76561198079229151,0,14,8136,8103,1698942369,english,best rpg since fallout new vegas,1698942119,1698942119,True,0,True,True,149382631
149382270,76561197998713031,0,8,1206,1132,1698947648,english,good gmae they fixed it yeah! !@11,1698941757,1698941757,True,0,True,True,149382270
149381617,76561199159809553,7,2,1855,1855,1698941025,english,"lights 
",1698941039,1698941039,True,0,True,True,149381617
149381468,76561198042798266,69,4,819,800,1698942729,english,game play is fun,1698940915,1698940915,True,0,True,True,149381468
149381457,76561198869849398,0,6,2706,2706,1698885335,english,silly,1698940896,1698940896,True,0,True,True,149381457
149381211,76561198116823605,0,3,626,505,1698948204,english,"still early in the game, so far no bugs
I've even activated some mods",1698940654,1698940654,True,0,True,True,149381211
149380983,76561198418586443,0,2,3663,3633,1698947236,english,"60 hours in and I have a lot of thoughts about the game. First things first the performance is still leaving a lot to be desired. To have any hope of getting over 60 fps on this game you have to utilize either DLSS or FSR technology unless you are rich enough to have a 4090. 

Put about 30 hours into the games when it first came out and many of the most major bugs and crash problems have been fixed. I still found the game not quite as polished as I would like it to be as a final product but it is certainly in a much better state than it was. I encountered several issues where quests became bugged, and there is lots and lots of buggy AI. For a game that came out recently this game really should have much better AI. I also experienced many visual and texture bugs especially when having ray tracing enabled. Characters skin would often appear very shiny or metallic in appearance and it really ruins the atmosphere especially in emotional cut scenes. I also encountered an issue where often times after closing the pause menu or inventory menu the game would be become blindingly bright for a couple of seconds. I'm guessing this issue has something to do with how the dynamic lighting system works but I'm not an expert on it. I only experienced one crash in 60 hours of game time so far which is acceptable for a game as performance heavy as this.

Apart from the visual glitches and other minor bugs the game runs pretty well. The world building and storytelling in this game is second to none. This likely due to the already lore filled and interesting universe created by Mike Pondsmith. The world feels alive and it really makes you feel like you are living as a merc in one of the shittiest places possible. I do have problems with how linear the main story line feels, especially compared to previous CD Projekt titles like the witcher. I also wish there was more customization options for your character, especially in terms of cyberware  and body modifications.

Despite all of the problems I have with this game, the universe and world building it establishes is so interesting and engaging and keeps me coming back to this game. This game has also been a good gateway into some of the deeper cyberpunk lore of the Pondsmith universe, and I hope they take more creative tips from him when it comes to the sequel. Overall despite the issues, CP2077 manages to stand on its own as one of the greats of all time when it comes to open world rpg's.

One side note, I was really dissapointed that the performance of the Phantom Liberty dogtown area was even worse than the original areas of Night City. Despite that, the overall quality of the storyline and side quests in the DLC consistently delivers as a great high quality experience.

Before 2.0: 5/10 After 2.0 and Phantom Liberty: 8.75/10",1698940402,1698940402,True,0,True,True,149380983
149380898,76561198142927219,232,36,4384,4262,1698947519,english,society if cyberpunk released like 2.0,1698940309,1698940309,True,0,True,True,149380898
149379938,76561198113874652,0,4,10870,10762,1698946295,english,nice but always crash the game and auto out,1698939765,1698939765,True,0,True,True,149379938
149379604,76561199051148755,44,5,2275,2275,1698939041,english,I think im more of a cyberpsycho compared to the cyberpsycho in game,1698939441,1698939441,True,0,True,True,149379604
149378296,76561198375021002,0,2,3502,3351,1698947285,english,"I bought this game in 2020 onsale for 20 bucks, I knew it was a hot mess and I was gonna sit on it. I decided to hop in recently after the 2.0 base game update and i got to say, this game is a blast, havent gotten too far into the story but its been pretty intriguing. The world looks amazing and theres a bunch of tiny little details that make the world feel super immersive. Game mechanics are super easy to pick up, and all and all, the game is a blast. Anyone whos on the fence about trying this Id would absolutely recommend. Its been scratching my itch that i thought starfield would.",1698938198,1698938198,True,0,True,True,149378296
149377943,76561198123030089,112,11,7689,7689,1698935391,english,09/10 game after 2.0 update,1698937855,1698937855,True,0,True,True,149377943
149377466,76561198392775674,96,13,5039,5039,1696192366,english,"69/10

Would love to blow Panam's back out again.

(also Johnny you're a cunt)",1698937402,1698937402,True,0,True,True,149377466
149376793,76561198951716977,0,2,4557,4530,1698936752,english,nice story and graphics,1698936730,1698936730,True,0,True,True,149376793
149376208,76561197970659385,0,25,19938,19796,1698944405,english,"While a FUN and nice looking game, it's FAR from perfect.  Expect bugs, bugs and MORE bugs, BUT they did work a good deal of them out and overall, was worth the purchase.",1698936174,1698936174,True,0,True,True,149376208
149376048,76561197974150626,0,2,40658,40658,1697849753,english,"I guess it's time for my review after so much time. I started with 1.5 when the game was already better than its launch. The game is now 2.02 as of this review.

In short: Recommended now.

I think that it is important to note that players used to 1.x had to learn the RPG stats/perks aspect all over again with 2.x. That includes myself. 2.02 works for what it is. If this'll be your first outing into Night City, it shouldn't be too much of an issue after passing the initial decision paralysis.

Now, the particulars:
[i]Graphics:[/i] Very nice on maximum.
First-person PC casts no reflection. FPP does cast a full shadow. There is no native 3rd person option. It's leaning toward realism but not ultrarealistic. Less-than-maximum setting is still a decent experience. Low setting is just okay.

[i]Gameplay:[/i] Nice.
As one should expect, it doesn't capture the pre-rendered teaser trailer from way back when the game was first announced. Stealth is an option, but it's difficult in its own way just as guns blazing has its own difficulties. (Prior to 2.x, stealth was easy.)

[i]Audio:[/i] Nice.
Video game quality, not ultrarealistic.

[i]Audience:[/i] Kids'll want it for the taboo factor. (That's pretty much all the M/18 rating does these days—make kids want to play it.) Adults will probably enjoy the story and related gameplay regardless of the M/18 content.

[i]PC requirements:[/i] For max settings, a hefty PC.
For a decent experience, mid-high end. Anything mid-range or lower will probably have trouble with performance even on low settings. Keep your PC clean. Hidden bloatware included in Windows and so many hardware utilities will wreck performance. The same goes for simple applications, especially ""free"" and low-cost apps. This is general advice and not just for Cyberpunk 2077.

[i]Difficulty:[/i] YMMV.
This game could be easy or difficult depending on which genres you're proficient. There is a difficulty slider that'll either tweak it too much or not enough... again based on your expertise in specific genres of games. Cyberpunk 2077 allows for a few different gameplay styles, each to be considered as their own subgenre.

[i]Grind:[/i] No.
It offers optional grinds for completionists. 2.x now scales up from a minimum level by location, but that minimum level is set to what one could expect when running only through the main story arcs. You won't need to grind for playing just the primary stories, but you also won't become overpowered by doing all the side quests and events or taking initiative on hostiles found around Night City and surrounding area.

[i]Story:[/i] Decent.
If you know [i]nothing[/i] about the story (like it was for me), it'll be very good. If you already know the story, it'll still be okay to experience yourself but nothing exceptional.

[i]Game time:[/i] Running through to an ending will take up some time, but it'll be like a week of playtime for the employed person.
Exploring options on ways to complete the game will add a lot of time. Completionists will take much, much longer. There is a lot of bits and bobs around the game. Some have their own little stories, but must are just idle work.

[i]Price:[/i] For both Cyberpunk 2077 and its optional Phantom Liberty expansion, I'd wait for a sale.
It's good, but that's still a nice chunk of change for a game that's been out for a long time, even with all the improvements since its uncertain launch.

[i]Bugs:[/i] Not many.
What games of this scope doesn't have them these days? Showstoppers? I haven't run into any even way back in 1.5. 2.x hasn't introduced any for me. Annoying? For me, more like funny, but I will admit that I often find humor in more things than many others.

[i]Summary:[/i] 8/10?
For me, I feel like 7.75/10. A modded game can bring it up to 9/10. So, 8/10.

[i]Replayability:[/i] Sure.
It can end in different ways, and some choices during the course of the game affect things later. If you know all the endings already, it has less replayability excepting to see how minor choices affect the non-critical stories.

[b][u]Extras:[/u][/b]
If you're here just for run-and-gun, there will be a lot of interruptions in that and fewer opportunities than one might think.

Cyberpunk was inspired by a table-top RPG. If you came here from Cyberpunk RED (TTRPG):[list][*]The combat has been converted into video game standards with chance being left to hacking and with gunplay and melee moved to player skill, all improved with perks from levelling.
[*]Careers don't exist for the player character. The game has three ""life paths"" that only affect the tutorial mission and occasional dialog options.
[*]Cyberpsychosis is not possible for the player due to how the game limits the use of Chrome on the player. The Cyberpsychosis mechanic from the tabletop game for becoming a Cyberpsycho is not implemented in the game at all. Either an NPC is a Cyberpsycho or isn't.
[*]You do not gain or lose faction status. This includes gangs, military, and corporations. You can gain and lose favorability with [i]specific[/i] characters in factions based on actions and dialogs. These decisions can appear later in the stories.[/list]
[b]It shouldn't need to be stated that an M/18 game will have a lot of sensitive content[/b], but just to be sure:
If you're an explorer in games, you'll encounter topics that include violence (duh), self-harm, drugs, alcohol, sex, non-consensual sex (because Steam doesn't allow the word), physical abuse, emotional abuse, genderism, stereotypes, child abuse, bigotry, mental health, classism, poverty, infidelity, privilege, politics, religion, persecution, and more.

If you want escapism from IRL social drama, you will not find it here. All you will find is escapism from today's ordinary life into a hero's life in a future where Humanity is still the same ole' flawed Humanity but with even more dangerous toys to play with.",1698936018,1698936018,True,0,True,True,149376048
149375252,76561198029476495,0,3,2896,2765,1698948079,english,This game is masterpiece. Ages ahead of anything that other triple A companies created in last 10 years.,1698935231,1698935231,True,0,True,True,149375252
149374827,76561199079242461,50,22,4738,4738,1697927770,english,"Definitely one of my favorite games even before 2.0, the story is really damn good and the characters are so damn interesting and likable, not to mention the killer soundtrack!
Definitely worth a try if your interested!",1698934802,1698934802,True,0,True,True,149374827
149374112,76561198069836245,0,43,222,184,1698942286,english,Awesome Game.......looks good with ray tracing,1698934056,1698934056,True,0,True,True,149374112
149374030,76561198991800859,0,2,7714,7710,1698934152,english,I didnt have issues at launch... but like Idris said.. THE GAME IS FIXED!,1698933940,1698933940,True,0,True,True,149374030
149373705,76561198983641264,0,66,125,125,1695946539,english,It's the game ever.,1698933593,1698933593,True,0,True,True,149373705
149373257,76561198216400789,0,2,8046,8017,1698935490,english,I left my wife so I could marry Panam.,1698933080,1698933080,True,0,True,True,149373257
